id,title,domain,severity,confidence,status,estimated_effort,suggested_owner,files,remediation
ARCH-001,Ten-service microservice topology is heavy for a pre-user product,Architecture,MEDIUM,Confirmed,Accepted risk,XL,Architect,settings.gradle.kts; docs/operations/runtime-sizing.md; benchmarks/reports/p221/REPORT.md,No action now (repo already documents consolidation candidates); revisit after beta metrics.
ARCH-002,Infrastructure plumbing is copy-pasted across all services by design; drift risk,Architecture / maintainability,MEDIUM,Confirmed,Accepted risk,M,Backend lead,services/*/src/main/java/**/infrastructure/messaging/*OutboxRelay.java; services/*/src/main/java/**/infrastructure/lifecycle/RetentionCleanupJob.java; platform/parkio-platform,"Move service-agnostic plumbing (relay skeleton, retention job, gateway-auth filter) into platform module while keeping event payloads/domain service-owned."
TEST-001,All Docker-dependent verification was BLOCKED in this audit environment,Testing / verification,MEDIUM,Confirmed,Blocked from verification,XS,Any engineer with Docker,.github/workflows/backend-integration.yml:62; .github/workflows/backup-restore-drill.yml:33; buildSrc/src/main/kotlin/parkio.spring-service.gradle.kts:85,Re-run the blocked commands on a Docker-capable host and attach results to the test-evidence doc.
PERF-001,Write-path performance is unmeasured; read path has real evidence,Performance,MEDIUM,Confirmed,Open,M,Performance engineer,benchmarks/reports/p221/REPORT.md; benchmarks/k6/http-load.js,Extend the k6 harness with an upload/spot-create scenario against a disposable stack; measure ClamAV throughput.
OPS-001,"Alert delivery, uptime monitoring and on-call are operator-TODO; alerts route to null by default",Operations,MEDIUM,Confirmed,Open,XS,Operator,docker/alertmanager/alertmanager.yml:5; docker/prometheus/alerts.yml; docs/releases/KNOWN-ISSUES.md,"Set PARKIO_ALERT_WEBHOOK_URL at deploy (preflight could enforce non-empty for hosted-beta), add a free external uptime monitor for the three domains."
DX-001,Developer machine npm configuration disables TLS to the package registry,Developer experience / supply chain,MEDIUM,Confirmed,Open,XS,Developer,~/.npmrc (outside repository),Delete the registry/strict-ssl lines from ~/.npmrc (defaults are HTTPS + strict TLS).
INFRA-002,Alertmanager placeholder receiver ships by default (see OPS-001) and infra/ IaC is a stub,Infrastructure,LOW,Confirmed,Accepted risk,L,DevOps,infra/README.md; docs/releases/KNOWN-ISSUES.md,Defer until AWS phase; then Terraform the VPC/RDS/ECS skeleton.
SEC-003,"Local dev docker/.env holds a real RSA private key in plaintext (gitignored, untracked)",Security hygiene,LOW,Confirmed,Open,XS,Developer,"docker/.env (local, untracked); .gitignore:35; .gitleaks.toml","Keep dev keys clearly labeled, never reuse in hosted envs (already documented); optionally move hosted-beta secrets to an encrypted store on the VPS."
SUP-002,"Container base images are tag-pinned, not digest-pinned",Supply chain,LOW,Confirmed,Open,XS,DevOps,services/auth-service/Dockerfile; frontend/apps/web/Dockerfile,Pin FROM lines to sha256 digests; let Dependabot/Renovate bump them.
OSS-002,One moderate npm advisory: transitive uuid <11.1.1 via Expo xcode tooling,Dependencies,LOW,Confirmed,Open,XS,Mobile engineer,frontend/pnpm-lock.yaml,Track Expo SDK updates; add a pnpm audit gate to frontend CI if desired.
BE-001,Notification NEARBY_PARKING fan-out is a TODO (documented accepted risk AR-01),Backend,LOW,Confirmed,Accepted risk,M,Backend engineer,services/notification-service/src/main/java/com/parkio/notification/application/NotificationApplicationService.java:92,"Implement geo-fanout (parking event -> user-service nearby query -> notification), respecting privacy minimization."
BE-002,Analytics snapshot reads are unbounded findAll() (slow-growing tables),Backend,LOW,Confirmed,Open,XS,Backend engineer,services/analytics-service/src/main/java/com/parkio/analytics/application/AnalyticsApplicationService.java:127,Add date-range parameters (already natural for snapshots).
DATA-001,No database CHECK constraints on latitude/longitude ranges,Database,LOW,High confidence,Open,XS,Backend engineer,services/parking-service/src/main/resources/db/migration/V2__create_parking_spots.sql,Add CHECK (latitude BETWEEN -90 AND 90) and (longitude BETWEEN -180 AND 180) in a new migration.
WEB-002,Five ESLint warnings in the web app (react-refresh export patterns),Web frontend,LOW,Confirmed,Open,XS,Frontend engineer,frontend/apps/web (lint output),Split mixed component/constant exports or accept and silence with rationale.
DOC-001,KNOWN-ISSUES OP-06 ('backup restore not automated in CI') is stale — a weekly CI restore drill exists,Documentation,LOW,Confirmed,Open,XS,Docs owner,.github/workflows/backup-restore-drill.yml:33; docs/releases/KNOWN-ISSUES.md,Doc fix.
PRIV-004,Waitlist HMAC hash secret defaults to reusing the gateway internal secret,Privacy / crypto hygiene,LOW,Confirmed,Open,XS,Backend engineer,services/gateway-service/src/main/resources/application.yml:257,Require PARKIO_WAITLIST_HASH_SECRET explicitly in hosted profiles (preflight check).
TEST-002,One flaky mobile test under slow I/O (SmartReturnScreen search flow),Testing,LOW,Confirmed,Open,XS,Mobile engineer,frontend/apps/mobile/src/features/smart-return/presentation/__tests__/SmartReturnScreen.test.tsx,Raise the specific waitFor/test timeout or await the debounce deterministically (fake timers).
SEC-004,Verified security strengths (recorded for due diligence),Security,INFORMATIONAL,Confirmed,False positive rejected,XS,—,services/gateway-service/src/main/java/com/parkio/gateway/infrastructure/security/; services/auth-service/src/main/java/com/parkio/auth/; docker/caddy/Caddyfile; docker/docker-compose.hosted-beta.yml,None — maintain.
DOC-002,Documentation maturity claims are calibrated and evidence-backed (verified strength),Documentation,INFORMATIONAL,Confirmed,False positive rejected,XS,—,README.md; docs/releases/KNOWN-ISSUES.md; docs/certification/FINAL-PRODUCTION-CERTIFICATION.md; benchmarks/reports/p221/REPORT.md,None — maintain.
